Day,Sold Units,Restocked Units,Available Units
0,0,0,2000
1,42,0,1958
2,143,0,1815
3,106,0,1709
4,181,0,1528
5,132,0,1396
6,84,0,1312
7,0,688,2000
8,185,0,1815
9,8,0,1807
10,21,0,1786
11,109,0,1677
12,96,0,1581
13,126,0,1455
14,0,545,2000
15,177,0,1823
16,76,0,1747
17,182,0,1565
18,132,0,1433
19,22,0,1411
20,141,0,1270
21,0,730,2000
22,60,0,1940
23,158,0,1782
24,101,0,1681
25,74,0,1607
26,154,0,1453
27,121,0,1332
28,0,668,2000
29,56,0,1944
30,73,0,1871
31,93,0,1778
32,189,0,1589
33,8,0,1581
34,188,0,1393
35,0,607,2000
36,115,0,1885
37,36,0,1849
38,48,0,1801
39,126,0,1675
40,65,0,1610
41,18,0,1592
42,0,408,2000
43,184,0,1816
44,59,0,1757
45,31,0,1726
46,59,0,1667
47,18,0,1649
48,71,0,1578
49,0,422,2000
